v,vw,o,c,h,l,t,n,pivot,r1,r2,r3,s1,s2,s3,ema_9,ema_50,rsi,atr,stoch_rsi
58414460.0,184.3226,184.22,184.25,185.88,183.43,1704258000000,656853,184.52,185.4559,186.03409999999997,186.96999999999997,183.5841,183.0059,182.07,185.362,185.5854901960784,,,
71878670.0,182.0183,182.15,181.91,183.0872,180.88,1704344400000,712692,181.95906666666667,182.80221706666669,183.32311626666663,184.16626666666667,181.11591626666663,180.59501706666668,179.75186666666667,184.6716,185.44135332564397,,,
62371161.0,181.474,181.99,181.18,182.76,180.17,1704430800000,682334,181.37,182.35938,182.97061999999997,183.96,180.38061999999996,179.76937999999998,178.77999999999997,183.97328,185.27424143052068,,,
59144470.0,184.3702,182.085,185.56,185.6,181.5,1704690000000,669173,184.22000000000003,185.78620000000004,186.7538,188.32,182.6538,181.68620000000004,180.12000000000003,184.29062400000004,185.28544764893164,,,
42841809.0,184.3706,183.92,185.14,185.15,182.73,1704776400000,538180,184.34,185.26444,185.83556,186.76,183.41556,182.84444,181.92,184.46049920000004,185.2797438195618,,,
46192908.0,185.2509,184.35,186.19,186.4,183.92,1704862800000,554777,185.50333333333333,186.45069333333333,187.03597333333337,187.98333333333335,184.55597333333333,183.97069333333332,183.0233333333333,184.80639936000003,185.31544014036328,,,
49128408.0,185.0604,186.54,185.59,187.05,183.62,1704949200000,584008,185.42,186.73026,187.53974,188.85,184.10974,183.30026,181.99,184.96311948800005,185.32620719368236,,,
40477782.0,185.8199,186.06,185.92,186.74,185.19,1705035600000,477050,185.95,186.54210000000003,186.9079,187.50000000000003,185.3579,184.9921,184.4,185.15449559040005,185.349493186087,,,
65076641.0,182.8866,182.16,183.63,184.26,180.934,1705381200000,767281,182.94133333333332,184.21186533333332,184.9968013333333,186.2673333333333,181.67080133333332,180.88586533333333,179.61533333333333,184.84959647232003,185.28206208075025,,,
47317433.0,181.9201,181.27,182.68,182.93,180.3,1705467600000,594632,181.97000000000003,182.97466000000003,183.59534,184.6,180.96534000000003,180.34466000000003,179.34000000000003,184.41567717785605,185.18002043052476,,,
77722754.0,187.9358,186.09,188.63,189.14,185.83,1705554000000,787233,187.86666666666667,189.13108666666668,189.91224666666665,191.17666666666665,186.60224666666667,185.8210866666667,184.5566666666667,185.2585417422848,185.31531374697477,,,
68887985.0,190.6149,189.33,191.56,191.95,188.82,1705640400000,682663,190.77666666666664,191.97232666666665,192.71100666666663,193.90666666666664,189.58100666666664,188.84232666666665,187.64666666666665,186.51883339382783,185.56020340395617,,,
60131852.0,193.9891,192.3,193.89,195.33,192.26,1705899600000,718107,193.82666666666668,194.9994066666667,195.7239266666667,196.8966666666667,192.65392666666668,191.9294066666667,190.75666666666663,187.9930667150623,185.8868620939971,66.05683145192685,3.538642857142857,
42355590.0,194.8203,195.02,195.18,195.75,193.8299,1705986000000,533093,194.91996666666668,195.6534448666667,196.10658846666664,196.84006666666667,194.18648846666667,193.7333448666667,192.9998666666667,189.43045337204984,186.25129887462467,67.67976278724987,3.350435714285713,
53631316.0,195.2063,195.42,194.5,196.38,194.34,1706072400000,594714,195.07333333333335,195.85261333333335,196.33405333333337,197.11333333333337,194.29405333333335,193.81261333333336,193.03333333333336,190.4443626976399,186.5747773501296,69.5089455652836,3.321149999999999,
54822126.0,194.7337,195.22,194.17,196.2675,193.1125,1706158800000,644526,194.51666666666665,195.72187666666665,196.46645666666663,197.67166666666665,193.31145666666663,192.56687666666664,191.36166666666665,191.1894901581119,186.87262921875197,75.26793075020609,3.3057928571428556,
44587111.0,193.1207,194.27,192.42,194.76,191.94,1706245200000,534165,193.04,194.11724,194.78276,195.86,191.96276,191.29724,190.22,191.43559212648952,187.09017317095777,72.23101265822781,3.3222214285714267,
47145622.0,191.2954,192.01,191.73,192.2,189.58,1706504400000,599513,191.17,192.17083999999997,192.78916,193.78999999999996,190.16916,189.55084,188.55,191.4944737011916,187.27212716425356,64.28902269569241,3.209364285714283,
55836970.0,188.7927,190.94,188.04,191.8,187.47,1706590800000,690705,189.10333333333332,190.75739333333337,191.77927333333332,193.43333333333337,187.4492733333333,186.42739333333333,184.7733333333333,190.8035789609533,187.3022398244789,55.83266291230894,3.31650714285714,
55467803.0,185.3525,187.04,184.4,187.095,184.35,1706677200000,679844,185.28166666666667,186.33025666666663,186.97807666666668,188.02666666666667,184.23307666666668,183.58525666666665,182.53666666666663,189.52286316876263,187.18842649802875,46.73952641165757,3.40293571428571,
64885408.0,185.5688,183.985,186.86,186.95,183.82,1706763600000,820977,185.8766666666667,187.07232666666667,187.81100666666663,189.00666666666663,184.68100666666663,183.94232666666667,182.74666666666667,188.99029053501013,187.1755470275178,52.16649607642445,3.3815071428571377,
102527680.0,184.744,179.86,185.85,187.33,179.25,1706850000000,1108465,184.14333333333337,187.22989333333337,189.13677333333337,192.22333333333336,181.05677333333335,179.14989333333332,176.06333333333333,188.36223242800813,187.12356479114456,49.883294431477175,3.847935714285709,
69654320.0,187.6824,188.15,187.68,189.25,185.84,1707109200000,804748,187.59,188.89262,189.69738,191.0,186.28738,185.48262,184.18,188.2257859424065,187.14538577972712,56.85743311886219,3.735364285714281,
43490759.0,188.4788,186.86,189.3,189.31,186.7695,1707195600000,530825,188.45983333333336,189.43030433333337,190.02986233333337,191.00033333333337,187.48936233333333,186.88980433333333,185.91933333333333,188.4406287539252,187.22988045503195,60.960264900662246,3.6789714285714257,
53438955.0,189.3803,190.64,189.41,191.05,188.61,1707282000000,596088,189.69000000000003,190.62208000000004,191.19792,192.13,188.75792,188.18208000000004,187.25000000000003,188.63450300314017,187.31537533914835,51.600985221674875,3.3918285714285696,
40962046.0,188.3032,189.385,188.32,189.535,187.35,1707368400000,521464,188.40166666666664,189.23633666666663,189.75199666666663,190.58666666666664,187.56699666666665,187.05133666666663,186.21666666666664,188.57160240251216,187.35477238467195,42.8063943161634,3.310757142857142,0.0
45155216.0,189.0056,188.65,188.85,189.99,188.0,1707454800000,544714,188.9466666666667,189.70684666666668,190.1764866666667,190.9366666666667,188.1864866666667,187.71684666666667,186.95666666666668,188.62728192200973,187.41340876174365,37.83783783783789,3.1836142857142846,0.0
